tag,s1_bytes,s1_lines,peak_mb,wall_s,status
v0.4.243,1344685,24408,712,5.141,OK
v0.4.260,1411637,25781,763,5.525,OK
v0.4.272,1422852,26003,769,5.725,OK
v0.4.282,1446536,26497,792,6.204,OK
v0.4.286,1452404,26603,861,5.706,OK
v0.5.0,1474424,27070,918,7.954,OK
v0.5.7,1479377,27156,827,6.68,OK
v0.5.13,1494204,27413,847,6.41,OK
v0.5.14,1494204,27413,897,6.083,OK
v0.5.15,1494204,27413,838,6.25,OK
v0.5.20,1498070,27478,834,6.568,OK
