relpath,exit,stderr_first_line,size_bytes,has_main
examples/learn_mvp/sklearn_leave_one_out_indices_i64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",700,1
examples/learn_mvp/sklearn_linear_svc_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1640,1
examples/learn_mvp/sklearn_logistic_binary_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1531,1
examples/learn_mvp/sklearn_logistic_multiclass_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1862,1
examples/learn_mvp/sklearn_maxabs_scaler_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1231,1
examples/learn_mvp/sklearn_minmax_scaler_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1245,1
examples/learn_mvp/sklearn_multiclass_metrics_i64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1814,1
examples/learn_mvp/sklearn_multinomial_nb_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",2054,1
examples/learn_mvp/sklearn_nearest_neighbors_kneighbors_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1437,1
examples/learn_mvp/sklearn_normalizer_l2_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",937,1
examples/learn_mvp/sklearn_onehot_encoder_i64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1054,1
examples/learn_mvp/sklearn_ordinal_encoder_i64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1080,1
examples/learn_mvp/sklearn_pca_transform_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1391,1
examples/learn_mvp/sklearn_pipeline_scaler_logistic_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1821,1
examples/learn_mvp/sklearn_polynomial_features_degree2_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",894,1
examples/learn_mvp/sklearn_polynomial_features_degree3_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",894,1
examples/learn_mvp/sklearn_probability_metrics_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",2262,1
examples/learn_mvp/sklearn_rbf_svc_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1958,1
examples/learn_mvp/sklearn_ridge_multioutput_predict_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1321,1
examples/learn_mvp/sklearn_scaler_linear_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1690,1
examples/learn_mvp/sklearn_simple_imputer_mean_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1550,1
examples/learn_mvp/sklearn_standard_scaler_fit_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1072,1
examples/learn_mvp/sklearn_standard_scaler_inverse_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1076,1
examples/learn_mvp/sklearn_stratified_kfold_indices_i64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1045,1
examples/learn_mvp/sklearn_train_test_split_indices_f64.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",1763,1
examples/model_io_mvp/nuc_model_io_manifest_smoke.nr,0,"",485,1
examples/nn_mvp/torch_adamw_step_f64.nr,0,"",1519,1
examples/nn_mvp/torch_bce_with_logits_f64.nr,0,"",1162,1
examples/nn_mvp/torch_cross_entropy_f64.nr,0,"",1033,1
examples/nn_mvp/torch_gelu_tanh_f64.nr,0,"",1145,1
examples/nn_mvp/torch_l1_loss_f64.nr,0,"",852,1
examples/nn_mvp/torch_layer_norm_f64.nr,0,"",1656,1
examples/nn_mvp/torch_layer_norm_mse_sgd_step_f64.nr,0,"",1847,1
examples/nn_mvp/torch_linear_backward_f64.nr,0,"",1278,1
examples/nn_mvp/torch_linear_bce_sgd_step_f64.nr,0,"",1674,1
examples/nn_mvp/torch_linear_cross_entropy_sgd_step_f64.nr,0,"",1759,1
examples/nn_mvp/torch_linear_mse_sgd_step_f64.nr,0,"",1712,1
examples/nn_mvp/torch_linear_relu_f64.nr,0,"",1462,1
examples/nn_mvp/torch_mse_loss_f64.nr,0,"",856,1
examples/nn_mvp/torch_nll_loss_f64.nr,0,"",869,1
examples/nn_mvp/torch_rms_norm_f64.nr,0,"",937,1
examples/nn_mvp/torch_sgd_momentum_f64.nr,0,"",1425,1
examples/nn_mvp/torch_sgd_step_f64.nr,0,"",929,1
examples/nn_mvp/torch_silu_f64.nr,0,"",683,1
examples/nn_mvp/torch_two_layer_gelu_mse_sgd_step_f64.nr,0,"",2455,1
examples/nn_mvp/torch_two_layer_relu_cross_entropy_adamw_loop_f64.nr,0,"",3421,1
examples/nn_mvp/torch_two_layer_relu_cross_entropy_sgd_loop_f64.nr,0,"",2559,1
examples/nn_mvp/torch_two_layer_relu_mse_sgd_step_f64.nr,0,"",2423,1
examples/onnx_mvp/nuc_onnx_manifest_smoke.nr,0,"",424,1
examples/port_mvp/nuc_port_manifest_smoke.nr,0,"",576,1
examples/python_parity/python_port_smoke/port_candidate.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",3063,1
examples/registry_mvp/nuc_rod_registry_manifest_smoke.nr,0,"",482,1
examples/sbom_mvp/nuc_sbom_manifest_smoke.nr,0,"",441,1
examples/serve_mvp/nuc_serve_manifest_smoke.nr,0,"",411,1
examples/ship_mvp/nuc_ship_manifest_smoke.nr,0,"",510,1
examples/stats_mvp/scipy_stats_describe_f64.nr,0,"",1292,1
examples/stats_mvp/scipy_stats_histogram_f64.nr,0,"",910,1
examples/stats_mvp/scipy_stats_normal_distribution_f64.nr,0,"",913,1
examples/stats_mvp/scipy_stats_quantile_f64.nr,0,"",977,1
examples/stats_mvp/scipy_stats_rank_extrema_f64.nr,0,"",1005,1
examples/stats_mvp/scipy_stats_ttest_f64.nr,1,"     | ",1316,1
examples/tabular_mvp/nuc_tabular_manifest_smoke.nr,0,"",624,1
examples/tensor_mvp/numpy_broadcast_add_f64.nr,0,"",932,1
examples/tensor_mvp/numpy_broadcast_reduce_f32.nr,0,"",1232,1
examples/tensor_mvp/numpy_csv_decimal_f64.nr,0,"",704,1
examples/tensor_mvp/numpy_csv_ingest_f64.nr,0,"",691,1
examples/tensor_mvp/numpy_div_pow_f64.nr,0,"",986,1
examples/tensor_mvp/numpy_dtype_policy.nr,0,"",878,1
examples/tensor_mvp/numpy_elementwise_f32.nr,0,"",1260,1
examples/tensor_mvp/numpy_elementwise_mul_f64.nr,0,"",947,1
examples/tensor_mvp/numpy_matmul_f32.nr,0,"",974,1
examples/tensor_mvp/numpy_matmul_f64.nr,0,"",880,1
examples/tensor_mvp/numpy_matvec_f64_f32.nr,0,"",1400,1
examples/tensor_mvp/numpy_reduce_axis_f64.nr,0,"",901,1
examples/tensor_mvp/numpy_slice_f64.nr,0,"",757,1
examples/tensor_mvp/numpy_transpose_reshape_f64.nr,0,"",835,1
examples/text_mvp/python_char_tokenizer_i64.nr,0,"",1030,1
examples/text_mvp/stdlib_tokenizer_i64.nr,0,"",1386,1
examples/tune_mvp/nuc_tune_manifest_smoke.nr,0,"",375,1
examples/vllm_mvp/nuc_vllm_manifest_smoke.nr,0,"",536,1
src/ai_facade.nr,SKIPPED_LIB,"no fn main",34050,0
src/backend_facade.nr,SKIPPED_LIB,"no fn main",3125,0
src/bench_facade.nr,SKIPPED_LIB,"no fn main",3403,0
src/boost_facade.nr,SKIPPED_LIB,"no fn main",42500,0
src/capsule_facade.nr,SKIPPED_LIB,"no fn main",2881,0
src/cert_facade.nr,SKIPPED_LIB,"no fn main",3364,0
src/cli_facade.nr,SKIPPED_LIB,"no fn main",3349,0
src/contract_facade.nr,SKIPPED_LIB,"no fn main",3573,0
src/data_facade.nr,SKIPPED_LIB,"no fn main",9573,0
src/dtype_core.nr,SKIPPED_LIB,"no fn main",4959,0
src/experiment_facade.nr,SKIPPED_LIB,"no fn main",2947,0
src/gguf_facade.nr,SKIPPED_LIB,"no fn main",3701,0
src/hf_facade.nr,SKIPPED_LIB,"no fn main",4446,0
src/lab_facade.nr,SKIPPED_LIB,"no fn main",3361,0
src/learn_facade.nr,SKIPPED_LIB,"no fn main",99365,0
src/math_facade.nr,SKIPPED_LIB,"no fn main",571,0
src/ml_health_facade.nr,SKIPPED_LIB,"no fn main",3845,0
src/model_io_facade.nr,SKIPPED_LIB,"no fn main",3426,0
src/ncap_facade.nr,SKIPPED_LIB,"no fn main",2435,0
src/nn_facade.nr,SKIPPED_LIB,"no fn main",28479,0
src/onnx_facade.nr,SKIPPED_LIB,"no fn main",4139,0
src/parity_manifest.nr,SKIPPED_LIB,"no fn main",1393,0
src/port_facade.nr,SKIPPED_LIB,"no fn main",3705,0
src/rod_registry_facade.nr,SKIPPED_LIB,"no fn main",3611,0
src/sbom_facade.nr,SKIPPED_LIB,"no fn main",3666,0
src/serve_facade.nr,SKIPPED_LIB,"no fn main",2388,0
src/shape_core.nr,SKIPPED_LIB,"no fn main",1038,0
src/ship_facade.nr,SKIPPED_LIB,"no fn main",3898,0
src/stats_facade.nr,SKIPPED_LIB,"no fn main",15110,0
src/tabular_facade.nr,SKIPPED_LIB,"no fn main",4340,0
src/tensor_facade.nr,SKIPPED_LIB,"no fn main",23598,0
src/text_facade.nr,SKIPPED_LIB,"no fn main",792,0
src/tokenizer_facade.nr,SKIPPED_LIB,"no fn main",1369,0
src/tune_facade.nr,SKIPPED_LIB,"no fn main",3181,0
src/vllm_facade.nr,SKIPPED_LIB,"no fn main",5169,0
tests/ai_core_smoke.nr,0,"",30892,1
tests/data_core_smoke.nr,0,"",6387,1
tests/learn_core_smoke.nr,1,"ERROR: raw-ref syntax `&raw const` / `&raw mut` is not in the V1 language surface. ",10234,1
tests/nn_core_smoke.nr,0,"",16886,1
tests/tensor_core_smoke.nr,0,"",15341,1
tests/text_core_smoke.nr,0,"",1476,1
